location,pit,pen_site,transect,distance_m,disturbances,dist_per_m
SCI,GDS,gusty_dell_A,GDS_A1,10,0,0
SCI,GDS,gusty_dell_A,GDS_A2,10,0,0
SCI,GDS,gusty_dell_A,GDS_A3,10,2,0.2
SCI,GDS,gusty_dell_A,GDS_A4,10,2,0.2
SCI,GDS,gusty_dell_B,GDS_B1,10,1,0.1
SCI,GDS,gusty_dell_B,GDS_B2,10,0,0
SCI,GDS,gusty_dell_B,GDS_B3,10,2,0.2
SCI,GDS,gusty_dell_B,GDS_B4,10,1,0.1
SCI,GDS,gusty_dell_C,GDS_C1,10,0,0
SCI,GDS,gusty_dell_C,GDS_C2,10,0,0
SCI,GDS,gusty_dell_C,GDS_C3,10,0,0
SCI,GDS,gusty_dell_C,GDS_C4,10,0,0
SCI,GDS,gusty_dell_D,GDS_D1,10,0,0
SCI,GDS,gusty_dell_D,GDS_D2,10,0,0
SCI,GDS,gusty_dell_D,GDS_D3,10,1,0.1
SCI,GDS,gusty_dell_D,GDS_D4,10,1,0.1
SCI,GDS,gusty_dell_E,GDS_E1,10,2,0.2
SCI,GDS,gusty_dell_E,GDS_E2,10,3,0.3
SCI,GDS,gusty_dell_E,GDS_E3,10,1,0.1
SCI,GDS,gusty_dell_E,GDS_E4,10,0,0
SCI,GDS,gusty_dell_F,GDS_F1,10,0,0
SCI,GDS,gusty_dell_F,GDS_F2,10,2,0.2
SCI,GDS,gusty_dell_F,GDS_F3,10,0,0
SCI,GDS,gusty_dell_F,GDS_F4,10,2,0.2
Sedgwick,WMC,windmill_CP1_D,WMC_D1,10,6,0.6
Sedgwick,WMC,windmill_CP1_D,WMC_D2,10,8,0.8
Sedgwick,WMC,windmill_CP1_D,WMC_D3,10,7,0.7
Sedgwick,WMC,windmill_CP1_D,WMC_D4,5,3,0.6
Sedgwick,WMC,windmill_CP1_E,WMC_E1,10,8,0.8
Sedgwick,WMC,windmill_CP1_E,WMC_E2,10,6,0.6
Sedgwick,WMC,windmill_CP1_E,WMC_E3,10,3,0.3
Sedgwick,WMC,windmill_CP1_E,WMC_E4,10,7,0.7
Sedgwick,WMC,windmill_CP1_F,WMC_F1,10,5,0.5
Sedgwick,WMC,windmill_CP1_F,WMC_F2,10,4,0.4
Sedgwick,WMC,windmill_CP1_F,WMC_F3,10,5,0.5
Sedgwick,WMC,windmill_CP1_F,WMC_F4,10,5,0.5
Sedgwick,TAU,windmill_tau_A,TAU_A1,10,6,0.6
Sedgwick,TAU,windmill_tau_A,TAU_A2,10,8,0.8
Sedgwick,TAU,windmill_tau_A,TAU_A3,10,9,0.9
Sedgwick,TAU,windmill_tau_A,TAU_A4,10,5,0.5
Sedgwick,TAU,windmill_tau_B,TAU_B1,10,8,0.8
Sedgwick,TAU,windmill_tau_B,TAU_B2,10,4,0.4
Sedgwick,TAU,windmill_tau_B,TAU_B3,10,9,0.9
Sedgwick,TAU,windmill_tau_B,TAU_B4,10,10,1
Sedgwick,TAU,windmill_tau_C,TAU_C1,10,3,0.3
Sedgwick,TAU,windmill_tau_C,TAU_C2,10,6,0.6
Sedgwick,TAU,windmill_tau_C,TAU_C3,5,4,0.8
Sedgwick,TAU,windmill_tau_C,TAU_C4,5,3,0.6
