sample_id,mass_g,n_µg,n_ppm,c_µg,c_ppm,rock_type
TRNCP1-P-1,0.059679,3.18,53.28507515,NA,NA,greenstone
TRNCP1-P-2,0.059055,3.09,52.32410465,NA,NA,greenstone
TRNCP1-P-3,0.060948,3.17,52.01155083,NA,NA,greenstone
TRNCP1-N-1,0.059155,3.08,52.06660468,NA,NA,greenstone
TRNCP1-N-2,0.060284,3.07,50.92561874,NA,NA,greenstone
TRNCP1-N-3,0.060534,3.15,52.03687184,NA,NA,greenstone
TRWCP1-5-P-2,0.060438,12.95,214.2691684,NA,NA,greenstone
TRWCP1-5-N-2,0.060421,16.3,269.7737542,NA,NA,greenstone
TRWCP1-4-P-1,0.059872,4.25,70.9847675,NA,NA,greenstone
TRWCP1-4-N-1,0.059916,6.45,107.650711,NA,NA,greenstone
sci-blue-schist-P-1,0.060506,4.61,76.190791,NA,NA,schist from conglomerate
sci-blue-schist-N-1,0.060863,5.1,83.79475215,NA,NA,schist from conglomerate
TRWCP1-1-P-1,0.06002,5.05,84.13862046,NA,NA,serpentine
TRWCP1-1-N-1,0.060401,5.29,87.58133143,NA,NA,serpentine
TRWCP1-2-P-1,0.060005,5.58,92.99225065,NA,NA,serpentine
TRWCP1-2-P-2,0.059845,5.23,87.39243045,NA,NA,serpentine
TRWCP1-2-P-3,0.05953,5.39,90.54258357,NA,NA,serpentine
TRWCP1-2-N-1,0.060674,6.8,112.0743646,NA,NA,serpentine
TRWCP1-2-N-2,0.059816,6.8,113.681958,12.16,203.2900896,serpentine
TRWCP1-2-N-3,0.060037,6.93,115.4288189,14.63,243.6830621,serpentine
TRWCP1-3-P-1,0.05977,10.73,179.5214991,94.05,1573.531872,serpentine
TRWCP1-3-N-1,0.059978,10.95,182.5669412,703.98,11737.30368,serpentine
BRNCP1-P-1,0.059807,74.52,1246.007992,67.98,1136.656244,shale
BRNCP1-P-2,0.059244,73.78,1245.35818,65.29,1102.052529,shale
BRNCP1-P-3,0.059735,75.11,1257.386792,69,1155.101699,shale
BRNCP1-N-1,0.060361,73.41,1216.182634,73.09,1210.881198,shale
BRNCP1-N-2,0.060297,73.21,1214.156592,73.18,1213.659054,shale
BRNCP1-N-3,0.060687,73.13,1205.035675,73.22,1206.518694,shale
Tvs-S-P-1,0.060005,54.19,903.091409,8.46,140.988251,Vaqueros_Formation_Sandstone
Tvs-S-P-2,0.060419,53.72,889.1242821,8.02,132.7397011,Vaqueros_Formation_Sandstone
Tvs-S-P-3,0.06031,56.15,931.0230476,7.61,126.1813961,Vaqueros_Formation_Sandstone
Tvs-S-N-1,0.0608,56.31,926.1513158,12.58,206.9078947,Vaqueros_Formation_Sandstone
Tvs-S-N-2,0.060759,52.14,858.1444724,12.14,199.8057901,Vaqueros_Formation_Sandstone
WLIC-REF-FINE-1,0.060251,55.96,928.781265,489.96,8131.981212,ref soil
Tvs-S-N-3,0.060756,53,872.3418263,11.39,187.4711963,Vaqueros_Formation_Sandstone
Tcd-3-P-1,0.060126,46.23,768.8853408,306.62,5099.624123,cozy_dell_shale
Tcd-3-P-2,0.059539,45.82,769.5796033,304.97,5122.188817,cozy_dell_shale
Tcd-3-P-3,0.0601,46.66,776.3727121,305.98,5091.181364,cozy_dell_shale
Tcd-3-N-1,0.060583,51.52,850.4035786,453.73,7489.394715,cozy_dell_shale
Tcd-3-N-2,0.060837,53.05,872.0022355,459.27,7549.188816,cozy_dell_shale
Tcd-3-N-3,0.060639,51.05,841.867445,453.95,7486.106301,cozy_dell_shale
Tjv-1-P-1,0.060291,32.95,546.5160638,NA,NA,jolla_viejo_formation
Tjv-1-P-2,0.060644,35.38,583.4047886,NA,NA,jolla_viejo_formation
Tjv-1-P-3,0.059932,32.56,543.2823867,NA,NA,jolla_viejo_formation
Tjv-1-N-1,0.060324,33.46,554.6714409,NA,NA,jolla_viejo_formation
Tjv-1-N-2,0.060065,32.52,541.4134687,NA,NA,jolla_viejo_formation
